title,type,location,people,description
Free Electrons,Energy,"San Francisco, CA, USA",11-50,"Free Electrons is the a global startup program connecting the world’s most promising startups with leading energy utilities to deliver cutting edge solutions and co-create the future of energy.

The program offers a unique opportunity for later stage startups to gain access to utility partners that can help them scale and expand into new markets around the world. Startups are also in the running for the prize of USD $200,000 – no strings attached.

The utility partners participating in Free Electrons are leaders in the clean energy transition extending across more than 40 countries, with access to over 82 million customers worldwide, representing over $173 billion in combined revenue."
Footprint,Materials & Manufacturing,"Gilbert, AZ, USA",501-1000,"Footprint is a sustainable packaging technology company that eliminates plastics through its biodegradable, fiber-based products in the food and beverage sector."
Drift Power,Energy,"Seattle, WA, USA",11-50,"Drift empowers people with the freedom to buy and sell energy based on what is important to them, not what is important to the power companies."
Doosan GridTech,Energy,"Seattle, WA, USA",11-50,"Doosan GridTech™️ delivers control system software and power system engineering services to help distribution utilities integrate distributed energy resources, such as solar and wind power, into the grid. Our control software for energy storage systems (ESSs) runs patent-pending algorithms that help utilities maintain power quality on circuits impacted by solar and other renewables, while taking full advantage of energy storage and other distributed energy resources."
DOE Solar Energy Technologies Office,Energy,"Seattle, WA, USA",11-50,"As a science agency, the Energy Department plays an important role in the innovation economy. The Department catalyzes the transformative growth of basic and applied scientific research, the discovery and development of new clean energy technologies and prioritizes scientific innovation as a cornerstone of US economic prosperity.

Through initiatives like the Loan Programs Office and the Advanced Research Projects Agency-Energy (ARPA-E), the Department funds cutting-edge research and the deployment of innovative clean energy technologies. The Department also encourages collaboration and cooperation between industry, academia and government to create a vibrant scientific ecosystem. 

In addition, the Energy Department's 17 National Laboratories are a system of intellectual assets unique among world scientific institutions and serve as regional engines of economic growth for states and communities across the country."
DMC Biotechnologies,Materials & Manufacturing,"Denver, CO, USA",11-50,"DC biosciences provides pharmaceutical and biotech companies with novel technologies and proteomics services to support the development of safer drugs faster. We are best placed to apply our knowledge and experience in a wide range of bioscience disciplines including quantitative proteomics, chemical biology, biochemistry, molecular biology, bioinformatics and cell biology to provide solutions in key areas of drug discovery and development."
Distributed Solar Development,Energy,"San Francisco, CA, USA",11-50,Distributed Solar Development is a solar energy management company.
Direct Energy Solar,Energy,"Hanover, MD, USA",51-100,"Since its inception, Direct Energy Solar has installed over 9,000 solar systems in 15 states. Providing our customers with reliable access to solar power to lower their energy bills is our specialty and focus. As part of Centrica Business Solutions and the Direct Energy family of brands, we are dedicated to utilizing distributed energy solutions to provide our customers a competitive advantage by lowering their operating costs and increasing their resilience."
Denbury,Energy,"TX, USA",1001-5000,"Denbury Resources Inc., is an independent oil and natural gas company with 437.7 MMBOE of estimated proved oil and natural gas reserves as of December 31, 2014, of which 83% is oil. Their operations are focused in two key operating areas: the Gulf Coast and Rocky Mountain regions. Their goal is to increase the value of their properties through a combination of exploitation, drilling and proven engineering extraction practices, with the most significant emphasis relating to carbon dioxide enhanced oil recovery (CO2 EOR) operations."
Demand Q,Energy,"Watertown, MA, USA",11-50,"Reduce Energy Spend Through Intelligent Demand Optimization
Our intelligent software integrates seamlessly with your energy management initiatives, dynamically optimizing equipment utilization to minimize peak demand charges, without human intervention or disruption of operations."
Delta Group,Materials & Manufacturing,"Dallas, TX, USA",251-500,"Delta Group Electronics, Inc., established in 1987, is a high-mix medium volume to low-mix medium quantity run electronics manufacturing services (EMS) provider recognized by Inc. Magazine as one of the fastest growing small businesses in the United States. The company provides cost-efficient, high-quality assembly of custom wiring harness, cable and turnkey electronic assemblies for its business partners throughout the southern half of the United States. Based in Albuquerque, New Mexico, Delta Group also has assembly operations in Florida, Arkansas, Texas and southern California.

The company maintains an ISO9001/AS9100 quality certification at each facility; along with ISO13485 quality standard at the San Diego, California location and NADCAP registration at the Albuquerque, New Mexico location. The company also maintains an annual ITAR registration and compliance program to include Distribution D capability through an approved DD2345.

Delta Group maintains a diversified customer base, serving customers in the defense, aerospace, telecommunications and capital equipment industries."
Deepwater Wind,Energy,"RI, USA",11-50,"Deepwater Wind American developer of offshore wind. The Company develops, constructs, operates, and manages renewable wind power projects. Deepwater Wind operates throughout the United States."
David Suzuki Foundation,Advocacy or Policy,"Vancouver, Canada",51-100,"We are interconnected with nature, and with each other. What we do to the planet and its living creatures, we do to ourselves.
This is the fundamental truth guiding our work at the David Suzuki Foundation.

Founded in 1990, the David Suzuki Foundation is a national, bilingual non-profit organization headquartered in Vancouver, with offices in Toronto and Montreal.

Through evidence-based research, education and policy analysis, we work to conserve and protect the natural environment, and help create a sustainable Canada. We regularly collaborate with non-profit and community organizations, all levels of government, businesses and individuals."
Cyrq Energy,Energy,"Boston, MA, USA",51-100,"Headquartered in Salt Lake City, Utah, Cyrq Energy is a leader in renewable energy technology with geothermal, solar and storage facilities generating energy and under development in California, New Mexico, Utah, Oregon, Nevada, as well as Africa.

The company develops, builds, owns and operates geothermal and PV solar energy-based power plants, and has commenced activity in the storage market with projects under development. Cyrq’s corporate culture is fully committed to investment in sound operations and the in-depth knowledge gained from these operations results in one of the strongest plant performance records in the industry. Cyrq has over a decade of experience in the development of clean, efficient renewable energy facilities with the goal of becoming a leading global developer and provider of renewable energy.

Cyrq Energy has the proven expertise to fully develop, operate and manage high availability power plants for the long-term. Cyrq Energy has extensive experience with underperforming geothermal sites. We have the people and the technology to turn challenging projects around and achieve the most efficient energy output from existing geothermal resources. Cyrq Energy has established a reputation in the industry for getting the most out of geothermal resources."
Cypress Envirosystems,Materials & Manufacturing,"San Jose, CA, USA",51-100,"Our goal is to help older plants and buildings save energy and improve productivity. We specialize in technologies which can be installed with minimum disruption and expense. Our products, such as the Wireless Pneumatic Thermostat, Wireless Gauge Reader or Wireless Steam Trap Monitor, require minutes to install, cost a fraction of traditional solutions, and typically pay back within 18 months.

THE CHALLENGE

Managers at older facilities must often tolerate dated legacy technologies such as pneumatic thermostats, mechanical steam traps, and manual gauges. Compared to new state-of-the art plants or buildings, these sites typically consume more energy, require more maintenance labor, incur higher unplanned downtime, and deliver lower yield or productivity. In today’s competitive business environment, these factors put older facilities at a serious disadvantage.

Although many plant and building operators would like to upgrade their facilities with the latest automation technology, the cost of running new wires, disrupting existing occupants or production, and triggering potential safety code upgrades makes it unfeasible. As an operator of existing manufacturing plants and buildings in over a dozen sites worldwide, Cypress understands these challenges first hand."
Cuberg,Energy,"Emeryville, CA, USA",11-50,"Cuberg is an energy startup company developing a next-generation battery technology based on a non-flammable liquid electrolyte formulation and a lithium metal anode. These cells deliver a step-change improvement in energy density and safety compared to the best lithium-ion batteries in the world today. The technology is a true drop-in solution that can be manufactured and scaled using existing lithium-ion production equipment. It has already been scaled up and demonstrated successfully in a variety of commercial-format prototypes and is currently being evaluated by marquee customers in the defense, aerospace, and oil and gas industries. This technology will power the portable electronics of the future and bring about mass-market electrification of cars, air taxis, and passenger airliners.

Cuberg has secured over $4M in funding from private investments and grants, including from: Boeing HorizonX Ventures, the National Science Foundation, the Department of Energy, CalSEED, and the U.S. Army. The company spun out of the materials science department at Stanford in 2016 and was initially supported by the TomKat Center for Sustainable Energy at Stanford. Cuberg graduated from the prestigious Cyclotron Road entrepreneurial fellowship program at Lawrence Berkeley National Laboratory in 2018.

We have a close-knit team, an informal and collaborative working style, impactful technology, and exciting commercial progress. Join us as we take Cuberg to the next level!"
CrossnoKaye,Energy,"Santa Barbara, CA, USA",11-50,http://www.crossnokaye.com
Covanta,Energy,"Morristown, NJ, USA",1001-5000,"Covanta Holding Corporation (Covanta) is a holding company. The Company is a owner and operator of infrastructure for the conversion of waste to energy ( energy-from-waste or EfW), as well as other waste disposal and renewable energy production businesses. Covanta conduct all of its operations through subsidiaries which are engaged predominantly in the businesses of waste and energy services. The Company has one segment which is Americas and consists of waste and energy services operations primarily in the United States and Canada. The Company owns and holds interests in energy-from-waste facilities in China and Italy. The Company also has investments in subsidiaries engaged in insurance operations in California, primarily in property and casualty insurance. In December 2013, the Company announced that it has acquired two transfer stations in Northern New Jersey from Advanced Disposal."
Coronal Group,Energy,"Glendale, CA, USA",51-100,"We believe our work is vital and transformative, and our clients—among them some of the world’s most sophisticated energy users—rely on us to achieve amazing results. By embracing this responsibility, we’ve become one of the country’s leading independent power producers focused on utility-scale solar and storage projects.

 

Our passion, determination, and expertise shine through in the work we do every day. That’s why enterprise customers including utilities, corporations, and the public sector trust in us to deliver clean, affordable, reliable energy.

Because together, we're powering a cleaner grid."
Core Systems,Materials & Manufacturing,"Fremont, CA, USA",51-100,"Core Systems is a privately-held semiconductor wafer processing company. The company offers production implantation, specialty implantation, disk refurbishment, silicon coating, and process engineering support services."
Core Energy,Energy,"PA, USA",11-50,"Core Energy is an oil & gas company established with the aim of capturing the value potential in and around producing oil and gas fields on the Norwegian Continental Shelf. The company will seek to acquire interests in producing fields and create value through focusing on increased oil and gas recovery, near field exploration and adjacent field developments. The company is backed by the leading oil and gas focused private equity investor HitecVision."
Cool Planet,Energy,"CO, Mexico",101-250,"Cool Planet is a technology company that is developing sustainable products to address three of the world’s largest markets: energy, food and water."
"Cool It, Earth",Advocacy or Policy,"Brooklyn, NY, USA",11-50,"Cool Earth shares the most effective conservation methods around the world and invests in those with the potential for best outcomes for people and rainforest. 

Innovation is the key to scaling up rapid rainforest protection and the lessons learned in one partnership can often be applied to benefit another. 

We work with communities who want to protect their forest. From setting up an in-country team to working directly with communities and local NGOs to develop their capacity, our partnerships are community-led and adaptable to each location.

By supporting Cool Earth, you’re taking the smartest climate action there is."
Cool Climate Network Berkeley,Advocacy or Policy,"Berkeley, CA, USA",101-250,"The climate crisis is pressing and solutions are urgently needed. CoolClimate provides smart decision-making tools and programs to accelerate the transition to a clean energy economy. We develop cutting-edge carbon footprint benchmarking research and combine this with ongoing lessons from behavioral sciences to design tailored climate solutions to different users and populations. CoolClimate tools quickly identify the unique opportunities each individual, business, organization or community holds to reduce greenhouse gas emisions. These tools are incorporated into programs to activate, educate, motivate and empower individuals and organizations to make low-carbon choices. CoolClimate also works with Network Members to design policies and programs that meet local needs and motivate populations to take climate action."
Convergent Energy + Power,Energy,"New York City, NY, USA",11-50,"Convergent Energy + Power is a technology-neutral energy storage asset developer with experience across a wide range of projects, from commercial and industrial applications to grid-connected systems. The company manages all aspects of the energy storage asset development cycle, including project-specific opportunity identification and economic evaluation, contract and financial structuring, engineering-procurement-construction, as well as operations and maintenance."
Constructis,Energy,"SC, USA",11-50,Constructis is a leader in kinetic energy. With the high demand for clean energy Constructis has brought to life a roadway system that allows traffic to create renewable energy. How does it work? The Roadway Energy Sensory System or R.E.S.S are roadway installed power modules capable of capturing vehicle traffic and converting it into usable energy...
Complete Solar,Energy,"San Mateo, CA, USA",11-50,"Our company is not really about us — it's about enabling the largest network of Sales and Installations partners in the nation, and it’s about you! The future of a solar America will only come by empowering people everywhere with the freedom to choose their energy and how much they spend on it. As a leading designer and installer of custom solar solutions, our goal has always been to transform the complex and costly process of going solar — into a fast and easy one. By working with specialized, partners both in and out of the United States, we are providing the broadest solar offering in the industry.

Our Mission
Our mission is to grow the residential solar market by providing a standardized platform that partners can use to diversify their product mix, grow revenue, and increase customer satisfaction.

What Sets Us Apart
Complete Solar is changing the way residential solar is sold and delivered. In the process, we are helping expand the market and drive consumer adoption.

We are the only company with a proven partner platform that combines financing options, software and services that other residential solar companies—and businesses with direct access to homeowners—can use to effortlessly sell and install rooftop systems and achieve high customer satisfaction rates.

We sell directly to consumers, and partner with finance, sales, and construction companies spanning the industry’s ecosystem. We currently serve customers in California, Utah and New Jersey.

Our Partners
We partner with residential solar providers and companies with direct access to homeowners and provide them with competitive advantages. We do this by giving them access to a standardized origination and fulfillment platform for closing deals and getting systems installed in the most efficient, timely, and cost-effective way, while delivering exceptional customer service.

Partners include:

Solar sales organizations

Solar installers

Roofing contractors

Finance companies

Marketing firms"
Community Fuels,Energy,"CA, USA",11-50,"Community Fuels is a proven advanced biofuel producer. We produce among the highest quality biomass-based diesel fuels available—our fuel qualifies as an Advanced Biofuel through the Environmental Protection Agency (EPA), and our own fuel standard closely mirrors the requirements of multiple major oil companies and exceeds the Federal fuel standard (ASTM Standard). Community Fuels is the first in the nation to secure both BQ 9000 Laboratory and BQ 9000 Producer certifications."
Columbia Power Technologies,Energy,"Corvallis, OR, USA",11-50,"Columbia Power Technologies: Clean Renewable Energy from Ocean Waves
Columbia Power (C·Power) is the worldwide leader in direct-drive wave energy systems. Our patented system is scalable. It can be sized and deployed in a wide range of applications from powering oceanographic sensors to generating megawatt-scale electricity. We are commercializing a next-generation solution that will deliver the qualities that our customers need to develop profitable wave energy projects: survivability, a competitive cost of energy and a low environmental and stakeholder impact.

Survivable:
We have one of the longest sea trials on record with demonstrated high availability and a strong capacity factor. Our system is designed for a long service life and to operate offshore in the widest range of sea conditions without shutting down in heavy seas or storms.

Cost Effective:
Our approach to delivering a competitive cost of energy includes innovative design solutions, such as a non-corrosive composite structure and highly-efficient direct-drive generators.

Low Impact:
We are committed to commercializing a system with the lowest stakeholder and environmental impact possible. New advances, like our reduced-impact mooring system, demonstrate this commitment."
Coda Energy,Energy,"CA, USA",11-50,"CODA Energy designs and builds scalable energy storage solutions that support a smarter, cleaner and more reliable grid. The CODA Core™ UDP Tower combines advanced batteries with proven battery and temperature management systems, all managed through a sophisticated power source controller. CODA energy storage systems are optimized for generation, distribution and behind-the-meter applications for commercial and industrial end users. CODA Energy professionals have deployed a combined 32 MW and 19 MWh of energy storage in stationary and mobile applications to date."
Cloud to Street,Climate Adaptation,"New York City, NY, USA",11-50,"Developer of a remote sensing platform created to map floods in real time. The company's remote sensing platform delivers dynamic risk information in a Web dashboard at a fraction of the cost of traditional flood modeling by predicting the size and damage of flood as the storm approaches, enabling catastrophe insurers, communities and watershed managers to understand their risk and prepare and respond to the next flood."
Climeco,Energy,"Boyertown, PA, USA",51-100,"ClimeCo is a leader in the management and development of environmental commodities. We combine unrivaled commodity market expertise with engineering and environmental assessment, permitting and transaction structuring to help clients maximize their environmental assets and minimize their regulatory costs.

From advisory services to offsets sourcing, carbon trading and project development, we provide comprehensive, vertically integrated solutions to help reduce our customers’ environmental impact—whether they are responding to emissions regulations or satisfying voluntary sustainability goals."
ClimateMaster,Materials & Manufacturing,"Oklahoma City, OK, USA",501-1000,"ClimateMaster’s role as a domestic energy and geothermal heating and cooling leader extends back to the late 1950s when the company was first founded in Florida. ClimateMaster was later relocated to New York where it started manufacturing water loop heat pump systems, and finally moved its headquarters to Oklahoma City where it continues to thrive today.

For more than 50 years, the company has been developing and producing the industry’s most innovative and energy efficient heating and cooling systems.

Throughout its history, ClimateMaster has continued to invest in the value of its U.S.-patented technologies, expansion of its American manufacturing facilities, growth of its national network of distributors and training of its domestic employees.

Today, the company remains committed to its Engineered and Assembled in the USA heritage by operating a 510,000 square-foot cutting-edge plant in Oklahoma City, sustaining over 600 American jobs and supporting over 1,200 independent dealers."
Climate Nexus,Energy,"New York City, NY, USA",11-50,"Founded in 2011, Climate Nexus works to change the conversation on climate change and clean energy from an argument to a constructive search for solutions.

With backgrounds spanning science, journalism, government, public affairs, corporate sustainability, consulting, policy and filmmaking, our team brings these diverse skills to partners in the science, business, public health, environmental and policy fields. For more about us, visit the Team page.

Climate Nexus leverages all forms of communication to tell the stories of the people impacted by climate change and those driving the energy transition. To achieve these goals, we work with the media, non-profits, community organizations, business leaders and policymakers.

We use science to support our stories, and draw from other fact-based sources like economic, legal and scholarly analysis. We are flexible and dedicated to acting upon critical new moments as they arise. We correct misinformation about climate change to encourage an educated and robust debate about threats and responses.

The clean energy transition is happening now, and we aim to highlight its economic, health and environmental benefits. Along with market forces, climate action on the local and global scale helps propel the clean energy economy. We work with local leaders, innovators in business, and international actors to elevate this work to the wider public.

We help our partners achieve their communications goals: improving media relations, reaching new audiences, launching online campaigns, organizing events, coordinating activities across the larger community, and anything else they might need."
BoxPower Inc.,Energy,"12438 Loma Rica Drive, STE C, Grass Valley...",11-50,"BoxPower’s modular microgrid systems can deliver renewable and reliable power as a cost-effective alternative to diesel generators. By pre-assembling and mass-producing our systems in shipping containers, BoxPower products help communities, governments, businesses, humanitarian and emergency relief agencies access off-grid power rapidly and provide energy resilience when power supply from the grid is unavailable or unreliable. BoxPower’s product range is scalable and can be configured to meet a broad range of use cases and applications. We’re proud to help to deliver clean, affordable, reliable energy to established and emerging markets around the world."
Climate Emergency Fund,Advocacy or Policy,"Beverly Hills, CA, USA",11-50,The Climate Emergency Fund provides funding to individuals and organizations that demonstrate the intention and capability of disrupting with urgency the inadequate and immoral gradual approach governments around the world are taking to address the climate emergency​.
Climate Defense Project,Advocacy or Policy,"CA, Berkeley, USA",11-50,"The climate movement needs climate lawyers.  Climate Defense Project fills a gap in the legal landscape by supporting front-line activists, pursuing climate impact litigation, and connecting attorneys with communities and campaigns.  CDP’s three co-founders are recent Harvard Law School graduates.  As law students, they brought the first fossil fuel divestment lawsuit, Harvard Climate Justice Coalition v. President and Fellows of Harvard College.  Since graduating, they have continued to fight for a stable climate for present and future generations."
Climate and Land Use Alliance,Advocacy or Policy,"San Francisco, CA, USA",11-50,"By bringing together our resources and diverse expertise, the Alliance seeks to support viable solutions and mobilize greater funding to conserve and restore forests and more sustainably use land—for the benefit of people and the planet. Learn more about how we work, where we focus, and what we support."
CLEAResult,Energy,"Austin, TX, USA",5001-10000,"CLEAResult harnesses the world's most innovative thinking in energy management and delivers the insight and technology to unleash the value of energy.

They work with utility clients to design, implement and evaluate cost-effective optimization programs utilizing their award winning Catalyst technology platform. By promoting efficient usage and placing a stronger focus on holistic organizational strategies, they help customers drive lower costs and get the most from energy."
Clear Power,Energy,"Amesbury, MA, USA",101-250,"Stellaris is an award-winning building energy technology company. Since 2005 we have been developing products to empower buildings to achieve zero net energy and even net-positive energy. Its extraordinary ClearPower smart BIPV window produces power equal to the best PV modules and controls solar heat gain as well as any dynamic window, all while maintaining transparency and views. ​

With its high power-density and PV efficiency, ClearPower uniquely can produce enough electricity in windows to make a serious contribution to a building's electrical loads."
CleanWorld,Energy,"CA, USA",11-50,"CleanWorld is the leading North American innovator in advanced, high-solids anaerobic digestion (HSAD) technology. Our award-winning, proven, and commercialized technology, delivered by the same team and inventor who pioneered it, provides organic waste solutions for growers, food processors, waste management companies, and communities, while producing clean, renewable energy.

Our technology solutions benefits businesses, municipalities, and communities by:

* by diverting organic waste bound for landfills, which dramatically reduces greenhouse gas emissions

* by turning organic food waste into revenue and efficiency opportunities,

* by helping cities become more climate resilient,

* by helping gardens and farms grow more beneficially and sustainably,

* by helping people live more sustainable lives.

CleanWorld is committed to helping every community achieve “Farm-to-Fork-to-Fue-to-Farml” economies, where what is grown regionally is consumed locally, and what is consumed locally is sustainably recycled back into renewable energy, renewable transportation fuel, and nutrient-rich soil products.

The unique advantages of CleanWorld’s technology are:

1) Accepts a wide variety of wet organic feedstocks that are up to 50% solid, continuously 2) Efficient closed, 3-tank operation process, resulting in higher methane production, lower operating costs and a higher energy yield 3) Shorter retention time of organic waste, allowing more waste to be processed at a faster rate 4) Destroys waste pathogens, enabling production of high-grade fertilizer 5) Captures 100% of harmful greenhouse gas emissions & can be negative carbon 6) Very small footprint and fast construction time

California CleanWorld facilities: American River Packaging (R&D facility) in Natomas, CA, the South Area Transfer Station in Sacramento (renewable transportation fuel), CA, and the UCD READ Project (renewable energy) in Davis, CA."
Clean Power Research,Energy,"CA, USA",11-50,"Clean Power Research supports the planning, selling and operation of solar and other renewable energy systems and energy efficiency technologies.

The company offers solutions in solar prediction, energy valuation, research, program optimization, and consultancy. Its product portfolio includes PowerCleark, software that helps reduce solar soft costs by taking formerly paper-intensive interconnection application processes online; PowerBill, which delivers objective, personalized, and comprehensive economic analysis of complicated home and business energy investment decisions; and SolarAnywhere, a software platform that delivers up-to-date and accurate implementation of the SUNY satellite-based irradiance model.

Clean Power Research is based in Napa, California, United States."
Clean Line Energy Partners,Energy,"Houston, TX, USA",11-50,"Clean Line Energy is developing a series of transmission lines that will deliver thousands of megawatts of renewable power from the windiest areas of the United States to communities and cities that have a strong demand for clean, reliable energy but lack access to clean energy resources"
Clean Focus Yield,Energy,"CA, Sunnyvale, USA",11-50,"Clean Focus Yield owns and operates clean, renewable-energy projects for commercial, industrial, government, utility and community solar clients.  Its projects produce steady, predictable cash flows that translate into reliable dividends for investors."
Clean Energy Systems,Energy,"CA, USA",11-50,"Clean Energy Systems, of Rancho Cordova, CA, specializes in the development of zero emissions commercial power plants using an oxy-fuel combustion process. The power plants use oxygen and various fuels to produce power that results in zero atmospheric emissions with carbon dioxide and water as byproducts. The company owns an extensive portfolio of patents and a Bakersfield, CA power plant, used to further develop the oxy fuel technology."
CivicSolar,Energy,"San Francisco, CA, USA",11-50,"CivicSolar is an innovative solar distributor partnering with installers and developers throughout North America. Its distribution model allows it to negotiate costs directly with global manufacturers on behalf of its customers and pass along the savings.

CivicSolar offers a full selection of modules and balance-of-systems from the industry's leading manufacturers. All of its solar equipment is pre-qualified based on performance history and long-term reliability. CivicSolar provides the engineering experience, installation know-how and web tools to help its installer customers find the right equipment for every job. Its dedicated customer support team is focused on helping its customers win more projects and build successful businesses."
Chrysalix,Energy,"Vancouver, BC, Canada",11-50,"Chrysalix is an early-stage industrial innovation venture capital firm that connects market-driven problems to breakthrough solutions.

It invests in and supports compelling technologies and entrepreneurial management teams that address the changing demands of the global industry and actively work with their clients and support them with deep industry and technical knowledge, management and board assistance, organized networking with industrial and financial partners, management of intellectual property, and direct access to capital.

In 2001, Wal van Lierop established the firm in Vancouver, British Columbia."
Choose Energy,Energy,"San Francisco, CA, USA",11-50,"We are committed to making energy choice simple and easy. When we started back in 2008, we had a vision to simplify shopping for the best electricity and natural gas rates, plan terms and renewable energy options. Today, using data and energy expertise, we now manage over a billion dollars in energy bills while delivering the highest quality service and saving millions of dollars for people and businesses across America. We take comfort in knowing you and your neighbors are getting the energy plan that’s right for you."
CHAR Technologies,Energy,"Mississauga, Ontario, Canada",11-50,"SulfaCHAR™ is a cost-effective, convenient, zero-waste targeted gas cleaning solution company."
CFOAM,Materials & Manufacturing,United States,11-50,"CFOAM is an industrial-strength foam producer. The company is a wholly owned subsidiary of CFOAM Ltd. Australia and is the only producer of coal-based carbon foam materials. It products includes carbon foam and PFoam.

CFOAM Carbon Foam is a non-combustible coal-based carbon foam which exhibits excellent mechanical and thermal properties. This particular line has proved to be an excellent engineering material for many high end applications including aerospace tooling, fireproof wall core material, energy absorbing structures, blast protection systems, thermal protection systems, exhaust systems, hot structures, and structural panels for EMI shielding and radar absorption applications."
Ceramatec,Energy,"Salt Lake City, UT, USA",51-100,"Ceramatec's advanced ceramics material technology research and development focus is primarily in energy & environment (cleantech) areas.

Ceramatec sustains its competitive advantage by:

Maintaining an extensive patent portfolio both domestically and internationally
Fostering an open innovation culture with people as its greatest assets
Having over two dozen active R&D collaborations and/or partnerships with industry, universities, national labs, and the Government
We take pride in taking high-risk ideas and converting them into high-payoff, market-ready solutions"
Center for Good Food Purchasing,Advocacy or Policy,"Berkeley, CA, USA",11-50,"The Center for Good Food Purchasing uses the power of procurement to create a transparent and equitable food system that prioritizes the health and well-being of people, animals, and the environment. We do this through the nationally-networked adoption and implementation of the Good Food Purchasing Program by major institutions.

The Center manages the Good Food Purchasing Program, working with institutions to establish supply chain transparency from farm to fork and shift towards a values-based purchasing model.

The Center works with national partners and local grassroots coalitions in cities across the United States to build a cohesive movement in support of Good Food purchasing."
Cenergistic,Energy,"Dallas, TX, USA",51-100,"Cenergistic builds customized, comprehensive energy conservation programs that help organizations reduce their consumption of electricity, natural gas, fuel oil, and water, delivering financial savings that can be invested in the lives of the people our clients serve, not utility companies.

Our clients include school districts, institutions of higher education, large churches, healthcare institutions and other organizations that share a commitment to fiscal and social responsibility and the wise use of limited financial and environmental resources.

We partner with our clients to transform them into self-sufficient, energy-efficient organizations. By leveraging our data- and technology-powered energy conservation program, our clients are able to achieve their most ambitious goals, whether it’s hiring new staff or just reducing their overhead."
WattTime.org,Energy,Remote,11-50,"WattTime is a rare non-profit tech startup. We’re laser focused on helping people, companies, and policymakers that are working to drive down emissions multiply their good impact - usually at no cost. We do this through several specific creative uses of extremely detailed emissions datasets. Founded by UC Berkeley researchers, we’re best known for inventing Automated Emissions Reduction (AER), a data-driven technique that over 100 million IoT devices now use to reduce fossil fuel use by automatically running on surplus clean/renewable energy. We also develop and share other techniques, like our Emissionality technology that more and more wind and solar farms are using to multiply their environmental impact. Today, WattTime is also the secretariat of the Climate TRACE coalition, a global team-up of nonprofits, tech companies, and universities working to use machine learning and remote sensing to provide open, transparent, independent monitoring of nearly every major individual source of GHG emissions worldwide. For more information visit www.WattTime.org."
CREO Syndicate,Energy,"New York, NY, USA",11-50,"CREO is a NYC-headquartered 501(c)3 public charity with a mission to galvanize capital for climate and sustainability solutions and the decarbonization of industries. With a focus on capital markets, CREO works towards the goal of transforming the economy into a sustainable system that supports a decarbonized future for all."
The Nature Conservancy,Advocacy or Policy,"Washington, DC, USA",1001-5000,"Founded at its grassroots in the United States in 1951, The Nature Conservancy has grown to become one of the most effective and wide-reaching environmental organizations in the world. Thanks to more than a million members and the dedicated efforts of our diverse staff and more than 400 scientists, we impact conservation in 79 countries and territories across six continents."
Climate Action Now,Advocacy or Policy,"Redwood City, CA, USA",11-50,"We’re not partisans.
But we are deeply concerned the United States government has turned its back on the climate crisis. Scientists are not debating whether global warming is real or manmade, but as a country, we have snubbed the rest of the world and gone backward in our fight to reduce carbon emissions.
At Climate Action Now, we are committed to making a difference.
We are channeling our frustration, anger and fear by launching an app in early 2021 that will put thousands of planet-saving actions at the fingertips of millions. Actions that can be taken in just seconds or minutes. The collective actions of all of us around the world can bring about positive change.
We can change behaviors. We can change attitudes. We can help change laws. We can change what people consume. We can change the trajectory of global warming if we all work together, each doing our own small part.
This is important work. It has become our life’s work. There is much to be done, and everybody can help. For our kids. For our grandkids. And for all life on the planet."
Amazon Watch,Advocacy or Policy,"Oakland, CA, USA",11-50,"Amazon Watch is a nonprofit organization founded in 1996 to protect the rainforest and advance the rights of Indigenous peoples in the Amazon Basin. We partner with Indigenous and environmental organizations in campaigns for human rights, corporate accountability and the preservation of the Amazon's ecological systems."
Akermin,Energy,"St. Louis, MO, USA",11-50,"Akermin is based in St. Louis, Missouri, and was formed in 2004 to commercialize breakthrough stabilized enzyme technology invented at Saint Louis University.

In 2008, Akermin demonstrated its prototype of a fully functioning biofuel cell operating on methanol fuel and using stabilized laccase to replace the metal catalyst in conventional cathodes. Commercial applications in wireless sensors and military uses are their primary focus.

Development for the use of stabilized enzymes in the food processing, biofuels, chemical, and pharmaceutical industries is under way."
Agua Inc,Materials & Manufacturing,"Boulder, CO, USA",11-50,"AGUAINC is an ecological water and wastewater treatment facility developer and utility operator, that provides cost effective and energy efficient solutions for municipalities around the world. 


At AGUAINC, we seek to overcome conventional water treatment limitations while raising the standards for sustainability and treatment quality.  Our systems require little energy, are chemical free, and are more affordable than conventional solutions.  Furthermore, they are simple to maintain and sequester CO2.  AGUAINC’s team has unparalelled experience with over 10 years of experience designing, installing, and maintaining treatment systems all over the world. We currently have ongoing projects in North America, South America, Europe, and Africa for clients including the Government of Dominican Republic and the Government of Gambia. 

How we help out clients: 
1) Provide a cost effective solution for water and wastewater treatment that is also environmentally friendly.
2) Provide turnkey facilities, and easy upgrades to existing facilities.
3) Act as investors, developers, and operators through BOT (Build-Operate-Transfer) and BOO (Build-Operate-Own) projects with clients."
Agrovision,Materials & Manufacturing,"Los Angeles, CA, USA",501-1000,AgroVision developes and supplies specialised software packages for the entire agricultural sector. Thousands of farmers worldwide use the packages from AgroVision every day. At every moment of the day they have good insight into their operational management
